date,total_cases_in_notice
2021-11-12,0
2021-11-13,2
2021-11-15,2
2021-11-16,3
2021-11-17,1
2021-11-18,3
2021-11-19,4
2021-11-20,1
2021-11-22,4
2021-11-23,4
2021-11-24,6
2021-11-25,1
2021-11-26,0
2021-11-27,1
2021-11-29,2
2021-11-30,2
2021-12-01,2
2021-12-02,2
2021-12-03,1
2021-12-04,1
2021-12-05,1
2021-12-06,2
2021-12-07,1
2021-12-08,6
2021-12-09,3
2021-12-10,2
2021-12-11,1
2021-12-13,1
2021-12-14,1
2021-12-15,5
2021-12-16,1
2021-12-17,2
2021-12-18,2
2021-12-19,1
2021-12-20,3
2021-12-21,4
2021-12-22,4
2021-12-23,3
2021-12-24,3
2021-12-25,1
2021-12-26,3
2021-12-27,5
2021-12-28,4
2021-12-29,1
2021-12-30,4
2021-12-31,7
2022-01-01,2
2022-01-02,4
2022-01-03,6
2022-01-04,12
2022-01-05,17
2022-01-06,11
2022-01-07,14
2022-01-08,28
2022-01-09,19
2022-01-10,25
2022-01-13,45
2022-01-14,32
2022-01-15,27
2022-01-16,21
2022-01-17,43
2022-01-18,53
2022-01-19,50
2022-01-20,58
2022-01-21,30
2022-01-22,38
2022-01-24,19
2022-01-25,34
2022-01-26,42
2022-01-27,38
2022-01-28,37
2022-01-29,14
